Unnamed: 0.1,Unnamed: 0,text,cluster,score,label
6,6,transaksi mudah aplikasi,0.0,5.0,Positif
13,13,sudah mau masuk mana keluar kata buka bagai aplikasi,0.0,2.0,Negatif
15,15,update terus paket masak data bulan aplikasi,0.0,3.0,Netral
16,16,sering sendiri blokir aplikasi,0.0,1.0,Negatif
17,17,sistem masalah lumayan kelas ganggu baik bagus aplikasi,0.0,4.0,Netral
24,24,sering sedot saldo qris masalah jaring gagal error aplikasi,0.0,1.0,Negatif
25,25,tidak sudah gak eh cacat cabang atm aplikasi,0.0,1.0,Negatif
33,33,jelas ganggu error dikit aplikasi,0.0,1.0,Negatif
40,40,yang ulang tapi sumsel sama rugi perangkat padahal nomor nali minta kurang kembang jelas jauh hp hari gak dari buka bug blokir benah bank baik babel aplikasi akun aktivasi ak,0.0,1.0,Negatif
44,44,mudah keren guna aplikasi,0.0,5.0,Positif
47,47,guna bagus aplikasi,0.0,5.0,Positif
71,71,sekali manfaat aplikasi,0.0,5.0,Positif
82,82,mudah mantap guna aplikasi,0.0,5.0,Positif
83,83,top aplikasi,0.0,5.0,Positif
85,85,bagus aplikasi,0.0,5.0,Positif
88,88,tingkat sumsel nyaman guna bank bagus babel aplikasi aman,0.0,5.0,Positif
91,91,yang update tanggal pernah perangkat masa mana malah ganti coba blokir banking aplikasi,0.0,1.0,Negatif
114,114,terus masalah kok jaring bagus aplikasi,0.0,1.0,Negatif
130,130,yang update ulang ujung salah rating pihak perintah minggu mau login kembang kemarin kasih kalau hari gimana dong bulan buka blokir baru aplikasi aktivasi,0.0,1.0,Negatif
131,131,jadi izin gimana butuh aplikasi ak,0.0,3.0,Netral
133,133,rasa bank aplikasi,0.0,1.0,Negatif
134,134,siap mulu login koneksi kek gagal aplikasi,0.0,4.0,Netral
135,135,selalu masuk lama jaring bagus aplikasi,0.0,1.0,Negatif
136,136,wifi uda tetap sumsel pihak pake padahal login lancar kok jelek jaring coba buka bank baik babel aplikasi ala aja,0.0,1.0,Negatif
150,150,uninstal sy sudah simcard jadi gara cuma buka blokir aplikasi,0.0,1.0,Negatif
159,159,tiba pa gak gaji buka blokir aplikasi apa aja,0.0,1.0,Negatif
173,173,transaksi seluruh mudah lengkap gampang dlm butuh aplikasi,0.0,5.0,Positif
182,182,mantap luar biasa aplikasi,0.0,5.0,Positif
204,204,transfer tolol super selalu ribet palembang malu login kelas kayak gagal bobrok bank aplikasi aktivasi,0.0,1.0,Negatif
211,211,transaksi tinggal telpon saran sangat saldo salah rugi potong mobile melulu manual malah lebih kembali kali jadi guna canggih bank baik aplikasi,0.0,1.0,Negatif
218,218,transaksi tolol saldo potong malah gagal aplikasi,0.0,1.0,Negatif
221,221,tutup sekarang mohon hari buka blokir baru baik aplikasi apa,0.0,1.0,Negatif
222,222,sistem jelek aplikasi,0.0,1.0,Negatif
232,232,selalu sekali masalah lancar koneksi jaring gilir baik aplikasi aman,0.0,1.0,Negatif
235,235,ribet mending bca bank aplikasi aja,0.0,1.0,Negatif
236,236,walaupun user ulang tidak sudah sm selalu minta masuk kode gilir friendly bener aplikasi aktivasi,0.0,1.0,Negatif
240,240,tolol gak aplikasi,0.0,1.0,Negatif
245,245,bagus aplikasi,0.0,5.0,Positif
254,254,yang uninstal ulang udah tidak terus sudah segera satu padahal minggu lewat jg instal guna dong dari bsb baru baik aplikasi,0.0,5.0,Positif
255,255,ini banget aplikasi,0.0,1.0,Negatif
261,261,uang tutup sih parah padahal mobile mending masak keluar kayak kalian iya guna gin dikit daerah besar bener bankingnya bank aplikasi aja,0.0,1.0,Negatif
271,271,ulang tpi tingkat terus teblokir susah sering sedikit sangat saldo rugi pulsa potong masuk login lgi jelas gak emang buruk aplikasi,0.0,1.0,Negatif
277,277,ulang registrasi mulu mintak mau kalo kali jgn error buka baik aplikasi,0.0,1.0,Negatif
290,290,udah teblokir selalu minggu lgi jelas gak gagal cuma blokir bikin bank aplikasi,0.0,1.0,Negatif
300,300,udah suka sendiri pa malah jelas ilang id guna gak eror data banget aplikasi,0.0,1.0,Negatif
315,315,tidak terang sumpah paket lelet internet beli banyak aplikasi,0.0,1.0,Negatif
316,316,uang transfer telpon sumsel saldo qris pake nyata nya mohon mau langsung gagal csnya bca bayar bank babel aplikasi,0.0,1.0,Negatif
318,318,yang terus terlalu sistem sering ribet restart parah paham orang masa maksimal kartu hp guna error dikit buat banking aplikasi akun aktivasi,0.0,1.0,Negatif
321,321,yang udah sangat saat kurang gin canggih butuh bsb bank baik aplikasi aja,0.0,1.0,Negatif
325,325,sekarang ribet praktis mutu mudah malah lebih kok harus gak coba bank baik aplikasi,0.0,1.0,Negatif
336,336,bnyak aplikasi,0.0,1.0,Negatif
345,345,yang update ulang tidak terus sumsel satu sama masak log lebih lagi kalah hr hp hari gak eror dong dari baru bank aplikasi aktivasi,0.0,1.0,Negatif
348,348,aplikasi,0.0,1.0,Negatif
349,349,ulang suruh sm pa mau kecewa buka aplikasi aktivasi,0.0,1.0,Negatif
352,352,tingkat respon fast aplikasi aman,0.0,5.0,Positif
355,355,transaksi minta lama jam informasi bug buat banyak bagus atas aplikasi aktifitas,0.0,5.0,Positif
356,356,yang transaksi sekarang riwayat mohon lumayan kredit debit bawah banyak bagus aplikasi,0.0,5.0,Positif
373,373,terus paling minta jelek bank aplikasi aktivasi,0.0,1.0,Negatif
381,381,yang sangat mudah lebih dukung bener aplikasi apa,0.0,5.0,Positif
