Unnamed: 0.1,Unnamed: 0,text,cluster,score,label
20,20,baik,2.0,5.0,Positif
32,32,sangat manfaat bantu baik,2.0,4.0,Netral
38,38,mobile banking baik,2.0,5.0,Positif
45,45,update makin kembang hari baik,2.0,5.0,Positif
49,49,kerja baik aplikasi,2.0,5.0,Positif
54,54,baik,2.0,2.0,Negatif
56,56,sangat panjang masa mantap bank baik,2.0,5.0,Positif
78,78,smga baik aplikasi,2.0,5.0,Positif
101,101,baik,2.0,5.0,Positif
115,115,baik,2.0,5.0,Positif
145,145,terus terlalu sumsel simple otpnya lebih kalau jgn banyak baik aplikasi,2.0,5.0,Positif
160,160,baik,2.0,5.0,Positif
180,180,baik,2.0,5.0,Positif
191,191,mbankingnya makin baik,2.0,5.0,Positif
192,192,sangat baik,2.0,5.0,Positif
212,212,sistem sering mohon jaring eror blokir baik,2.0,1.0,Negatif
279,279,mohon log baik,2.0,5.0,Positif
365,365,bank baik,2.0,5.0,Positif
376,376,tinggal sedikit baik bagus aplikasi,2.0,5.0,Positif
405,405,sangat ribet baik aman,2.0,5.0,Positif
409,409,keren baik bagus aplikasi,2.0,5.0,Positif
412,412,sangat baik,2.0,5.0,Positif
449,449,pakai layan cepat baik,2.0,5.0,Positif
452,452,guna baik,2.0,5.0,Positif
454,454,transfer transaksi tambah saran mudah lebih fitur fast depan biaya bi baik aplikasi,2.0,5.0,Positif
465,465,sangat bantu baik aplikasi,2.0,5.0,Positif
467,467,transaksi sangat mudah baik,2.0,5.0,Positif
472,472,transaksi tingkat mobile kapan banking baik aman,2.0,5.0,Positif
478,478,sangat muda laku lah bsb baik,2.0,5.0,Positif
482,482,tetap laku baik aplikasi,2.0,5.0,Positif
500,500,transaksi sangat baik bagus aplikasi aman,2.0,5.0,Positif
517,517,sangat layan baik,2.0,5.0,Positif
524,524,transaksi sangat mudah baik,2.0,5.0,Positif
525,525,transaksi sangat mudah baik,2.0,5.0,Positif
537,537,baik,2.0,5.0,Positif
543,543,baik,2.0,5.0,Positif
547,547,sangat baik,2.0,5.0,Positif
554,554,sangat baik,2.0,5.0,Positif
574,574,transaksi mudah baik aplikasi,2.0,5.0,Positif
577,577,baik,2.0,5.0,Positif
631,631,transaksi sangat mudah manfaat lebih baik,2.0,5.0,Positif
634,634,moga makin baik,2.0,5.0,Positif
640,640,yang tdak layan baik,2.0,5.0,Positif
645,645,yang untung tingkat terus sangat nasabah mudah layan bsb baik aplikasi,2.0,5.0,Positif
658,658,guna dengan baik aplikasi,2.0,5.0,Positif
784,784,baik,2.0,5.0,Positif
864,864,baik aplikasi,2.0,1.0,Negatif
907,907,baik,2.0,4.0,Netral
926,926,sistem selalu error baik aktivasi,2.0,1.0,Negatif
927,927,jelek dong banget baik,2.0,1.0,Negatif
949,949,sangat baik,2.0,5.0,Positif
989,989,versi upgrade ubah tak sering saldo pulsa mohon masuk lebih kurang isi error contoh baik,2.0,3.0,Netral
1019,1019,baik aktivasinya,2.0,1.0,Negatif
1090,1090,log bug baik aplikasi,2.0,1.0,Negatif
1108,1108,transfer online baik,2.0,2.0,Negatif
1123,1123,puas mohon konsumen jaring error baik,2.0,5.0,Positif
1147,1147,mohon kena baik akun,2.0,1.0,Negatif
1163,1163,makin lebih belum baik,2.0,5.0,Positif
1195,1195,sangat registrasi otpnya kolom kode buruk baik,2.0,1.0,Negatif
1236,1236,sering lot error baik,2.0,1.0,Negatif
1242,1242,tolong baik,2.0,1.0,Negatif
1244,1244,update mohon guna bug baru baik,2.0,4.0,Netral
1257,1257,segera buka bug baik aplikasi,2.0,2.0,Negatif
1358,1358,sekali baik,2.0,5.0,Positif
1370,1370,uang rekening perlu notifikasi nomor mulu mohon mau masuk login kembang keluar fitur baik atau aplikasi,2.0,1.0,Negatif
1382,1382,sangat baik aman,2.0,5.0,Positif
1385,1385,tlg tidak susah simpel mohon lebih guna biar benar bank baik,2.0,2.0,Negatif
1432,1432,utama tunggu transfer transaksi tlg tidak samsung kata hp hari baik akhir,2.0,3.0,Netral
1446,1446,tingkat terus sangat baik aman,2.0,4.0,Netral
1479,1479,terimakasih sumsel sangat nasabah layan bank baik atas,2.0,5.0,Positif
1483,1483,sangat baik,2.0,5.0,Positif
1489,1489,sangat baik,2.0,5.0,Positif
1512,1512,tingkat terus kualitas baik,2.0,5.0,Positif
1527,1527,lebih baik,2.0,4.0,Netral
1545,1545,butuh banyak baik,2.0,3.0,Netral
1558,1558,makin baik,2.0,5.0,Positif
1562,1562,baik,2.0,4.0,Netral
1568,1568,baik,2.0,5.0,Positif
1608,1608,jalan baik appnya,2.0,5.0,Positif
1624,1624,tlg mulu ganggu baik,2.0,1.0,Negatif
1632,1632,baik,2.0,4.0,Netral
1653,1653,transaksi sangat mudah baik,2.0,5.0,Positif
1659,1659,bsb baik,2.0,5.0,Positif
