Unnamed: 0.1,Unnamed: 0,text,cluster,score,label
0,0,terus sering sendiri mohon mobile mau lot keluar kelas kantor ingat baru bangking baik aplikasi aktivasi aja,3.0,2.0,Negatif
1,1,yang ujung transfer sulit padahal nomer minta masuk malah login kantor hampir guna cabang blokir benar baru baik atmnya aplikasi aktivasi,3.0,1.0,Negatif
2,2,udah sama ribet padahal mobile mandiri bni bank aktivasi,3.0,1.0,Negatif
3,3,virtual transfer transaksi sering sedot saldo mahal kalau jg gagal dana biso biaya bayar bata akun admin,3.0,1.0,Negatif
4,4,ulang sulit sering sangat prose nasabah minta eror banking aktivasi,3.0,3.0,Netral
5,5,transfer sering pa mau,3.0,3.0,Netral
8,8,salah padahal koneksi jaring jadi internet ingat coba cek buka bantu bagus,3.0,2.0,Negatif
9,9,lama kartu atmnya,3.0,1.0,Negatif
10,10,yang via telpon sangat respon mbanking layan kecewa hari eror buruk buat benerin baru banking banget atm,3.0,1.0,Negatif
11,11,ulang terus restart perangkat kartu cabang atm aktivasi,3.0,1.0,Negatif
12,12,transaksi terlalu tampil sama ribet paham otp mudah kena dengan cuman biaya besar bank,3.0,3.0,Netral
14,14,telpon saldo rb pulsa prose potong masuk lama kali habis gagal berapa beli,3.0,1.0,Negatif
18,18,ulang pa mau masuk malah lagi jauh instal hubung hr hp bank bagaimana awal akun,3.0,1.0,Negatif
19,19,transaksi sulit sering mudah masalah malah bukan,3.0,1.0,Negatif
21,21,tambah sim mudah lepas kartu akun,3.0,2.0,Negatif
22,22,utama tutup tunai transaksi tidak tiba tiap tarik tahun susah ribet pernah narik min mau kota kok kemaren kartu kalau jadi hambat ganti gak daerah bank banget atmnya,3.0,4.0,Netral
23,23,ulang ujung terus nya masa blokir aplikasi aktivasi,3.0,1.0,Negatif
26,26,terus suka sendiri minta kelas daerah blokir benar bank bagus aplikasi aktivasi,3.0,3.0,Netral
27,27,masalah jaring gabisa buka,3.0,1.0,Negatif
28,28,tiba sampah panjang otp libur lambat keluar jam blokir aplikasi,3.0,1.0,Negatif
29,29,ulang tidak rek nomor minta kode kartu bener aktivasi,3.0,2.0,Negatif
30,30,tiba sering layan gagal blokir bank baik aplikasi akun,3.0,1.0,Negatif
31,31,wa tempat susah soal selalu pa mau masuk login koneksi kalo kali jangan gimana coba buka buat blokir bank baik bagus,3.0,2.0,Negatif
35,35,transfer ribet mau banget,3.0,2.0,Negatif
36,36,versi sih sekarang,3.0,5.0,Positif
37,37,simpel praktis mudah aplikasiny,3.0,5.0,Positif
39,39,ulang sim pasang ny mohon minta masa lepas kartu karna hp card bolak blokir bank bangking balik baik aktivasi,3.0,1.0,Negatif
41,41,udah tapi susah sering ribu pulsa mau masuk habis gak eror centernya call banget aplikasi,3.0,1.0,Negatif
48,48,usah transfer tidak sudah sih rekening perintah pakai pa mutu mohon mau malah kartu hampir gagal duit daftar daerah bulan benar banking bank balik atm aja,3.0,1.0,Negatif
50,50,yang tiap sama rumah ribet pakai mudah mbangking masuk masa mana malah makin lah koneksi kok kata jauh internet gimana ganggu bulan bukan buat berapa benerin baru bank baik appnya app apa aja,3.0,2.0,Negatif
51,51,yah ulang terus selalu sekarang minta masuk gagal aplikasi aktivasi,3.0,3.0,Netral
52,52,tunggu transfer transaksi sering sekali sangat saldo potong paksa pakai masuk komplain kerja jelek hari gilir gaji error bank,3.0,1.0,Negatif
